Tortilla_de_patata;Pela y corta las patatas y la cebolla. Frie en aceite, escurre y mezcla con los huevos batidos. Cuaja en sarten por ambos lados
Ensalada_mixta;Lava y corta la lechuga, el tomate y la zanahoria. Mezcla en un bol y sazona al gusto.
Spaghetti_carbonara;Cuece los spaghetti. Bate los huevos y mezclalos con la panceta dorada. Junta todo y sirve caliente.
Gazpacho;Tritura tomate, pepino y pimiento con agua, sal y aceite. Sirve frio.
Paella;Sofrie pollo y marisco, agrega arroz y rehoga. Incorpora caldo y cocina hasta que el arroz este hecho.
Bocadillo_de_jamon;Abre el pan, coloca el jamon y el queso. Sirve frio o calienta si prefieres.
Crema_de_calabaza;Cuece la calabaza y la patata. Tritura con nata hasta obtener una crema suave.
Tarta_de_manzana;Mezcla manzana troceada con harina y azucar. Hornea hasta que este dorada.
Pollo_al_horno;Coloca el pollo con patata y cebolla en una bandeja. Hornea hasta que este dorado.
Lentejas;Cuece las lentejas con chorizo y zanahoria hasta que esten tiernas.
Empanada_de_atun;Mezcla atun y huevo cocido, rellena la masa y hornea hasta dorar.
Sopa_de_fideos;Hierve el caldo, agrega fideos y pollo troceado. Cocina hasta que los fideos esten listos.
Hamburguesa;Forma hamburguesas con la carne, cocinalas y sirve en pan con queso.
Croquetas;Haz una masa con pollo, harina y leche. Forma croquetas y frie.
Pizza_Margarita;Extiende la masa, agrega tomate y queso. Hornea hasta que el queso se funda.
Calamares_a_la_romana;Reboza los calamares en harina y huevo, frie hasta dorar.
Tostada_con_aguacate;Tuesta el pan, coloca aguacate y tomate en rodajas encima.
Pisto;Sofrie calabacin, tomate y pimiento. Cocina hasta que las verduras esten tiernas.
Albondigas;Mezcla carne, huevo y pan rallado. Forma albondigas y frie o cocina en salsa.
Flan;Bate huevos, leche y azucar. Hornea en una bandeja con agua caliente hasta que cuaje.
Pollo_con_arroz;Sofrie pollo, agrega arroz y cebolla. Cocina con agua hasta que el arroz este hecho.
Tacos_de_carnitas;Cocina cerdo desmenuzado, sirve en tortillas con cebolla.
Quiche_de_queso;Mezcla huevo, queso y nata. Hornea en un molde hasta cuajar.
Chili_con_carne;Cocina carne con alubias y tomate. Sazona al gusto.
Ensalada_cesar;Mezcla lechuga, pollo y queso. agrega salsa Cesar.
Pan_tostado;Tuesta el pan, unta mantequilla y frota con ajo.
Arroz_a_la_cubana;Cuece arroz, frie platano y huevo. Sirve juntos.
Crepes;Mezcla harina, huevo y leche. Cocina en sarten fina por ambos lados.
Macarrones_con_tomate;Cuece macarrones, mezcla con tomate frito y queso.
Caldo_gallego;Cuece berza, patata y chorizo en agua hasta que esten tiernos.
Migas;Frie pan troceado con ajo y chorizo hasta dorar.
Revuelto_de_setas;Saltea setas y cebolla, agrega huevo batido y remueve hasta cuajar.
Bacalao_al_pil_pil;Cocina bacalao con ajo y aceite, removiendo hasta emulsionar la salsa.
Fabada_Asturiana;Cuece alubias con chorizo y morcilla hasta que esten tiernas.
Tortilla_francesa;Bate huevos con mantequilla y sal, cuaja en sarten.
Arroz_con_leche;Cuece arroz en leche con azucar hasta que espese.
Zumo_de_naranja;Exprime las naranjas, agrega azucar y agua al gusto.
Tarta_de_queso;Mezcla queso, huevo y azucar. Hornea hasta cuajar.
Verduras_a_la_plancha;Corta y asa calabacin, berenjena y pimiento en plancha.
Bocadillo_de_tortilla;Haz una tortilla con huevo y patata, sirve en pan.
Panqueques;Mezcla harina, huevo y leche. Cocina en sarten por ambos lados.
Ensaladilla_rusa;Cuece patata, zanahoria y guisantes. Mezcla con mayonesa.
Pimientos_rellenos;Rellena pimientos con carne y arroz, hornea hasta tiernos.
Brochetas_de_pollo;Ensarta pollo, pimiento y cebolla en palos y cocina a la plancha.
Empanadillas;Rellena masa con atun y huevo, cierra y frie.
Pollo_con_curry;Cocina pollo con curry y nata hasta que espese.
Arroz_frito;Saltea arroz cocido con huevo y guisantes.
Canelones;Rellena pasta con carne, cubre con bechamel y hornea.
Lasagna;Alterna capas de pasta, carne y tomate. Hornea hasta dorar.
Hummus;Tritura garbanzos con ajo y limon hasta obtener una pasta.
Ensalada_de_arroz;Mezcla arroz cocido con tomate y atun.
Tortilla_de_calabacin;Saltea calabacin y cebolla, mezcla con huevo y cuaja.
Patatas_bravas;Frie patatas, sirve con salsa de tomate y ajo.
Croquetas_de_jamon;Haz una masa con harina, leche y jamon. Forma croquetas y frie.
Sopa_de_verduras;Hierve caldo con zanahoria y calabacin troceados.
Arroz_negro;Sofrie arroz con calamares y ajo, agrega tinta y cocina.
Ensalada_de_garbanzos;Mezcla garbanzos cocidos con tomate y cebolla.
Tostada_con_tomate;Tuesta pan, frota con ajo y tomate.
Pizza_de_atun;Extiende la masa, agrega atun y queso. Hornea hasta dorar.
Crema_de_calabacin;Cuece calabacin y patata, tritura con nata.
Espaguetis_con_ajo_y_aceite;Cuece spaghetti, saltea con ajo y aceite.
Hamburguesa_de_pollo;Forma hamburguesas de pollo, cocina y sirve en pan con queso.
Lentejas_con_arroz;Cuece lentejas con arroz y zanahoria.
Tarta_de_zanahoria;Mezcla zanahoria rallada, harina y azucar. Hornea hasta dorar.
Pan_con_tomate;Tuesta pan, agrega tomate rallado y aceite.
Pimientos_asados;Asa pimientos, pela y sazona con ajo y aceite.
Garbanzos_con_espinacas;Cocina garbanzos con ajo y cebolla, agrega espinacas.
Pasta_con_nata;Cuece pasta, mezcla con nata y queso.
Calabacin_relleno;Rellena calabacin con carne y tomate, hornea.
Pollo_a_la_plancha;Cocina pollo con ajo y aceite en plancha.
Macarrones_gratinados;Cuece macarrones, mezcla con queso y bechamel, gratina.
Pisto_con_huevo;Calienta pisto, agrega huevo y aceite, cocina hasta cuajar.
Huevo_a_la_plancha;Cocina huevo en sarten con aceite y sal.
Pollo_teriyaki;Saltea pollo con salsa teriyaki y cebolla.
Quesadilla;Rellena tortilla con queso y pollo, calienta hasta fundir.
Zumo_de_limon;Exprime limon, agrega azucar y agua al gusto.
Paella_de_verduras;Sofrie arroz con calabacin y pimiento, agrega caldo y cocina.
Sopa_de_pollo;Hierve caldo con pollo y fideos.
Pastel_de_patata;Alterna capas de patata, carne y queso, hornea.
Empanada_de_pollo;Rellena masa con pollo y cebolla, hornea.
Galletas_de_mantequilla;Mezcla harina, azucar y mantequilla. Forma galletas y hornea.
Tomates_rellenos;Rellena tomates con arroz y atun, hornea.
Revuelto_de_espinacas;Saltea espinacas y ajo, agrega huevo batido y remueve.
Bacalao_con_tomate;Cocina bacalao con tomate y cebolla.
Curry_de_garbanzos;Cocina garbanzos con curry y cebolla.
Pasta_con_verduras;Cuece pasta, saltea con calabacin y pimiento.
Tarta_de_limon;Mezcla harina, limon y azucar. Hornea hasta dorar.
Guisantes_con_jamon;Saltea guisantes con jamon y cebolla.
Patatas_con_chorizo;Cuece patata con chorizo y pimiento.
Cazuela_de_fideos;Hierve fideos con caldo y marisco.
Pizza_de_pollo;Extiende la masa, agrega pollo y queso. Hornea hasta dorar.
Hummus_con_pan;Tritura garbanzos con ajo, sirve con pan.
Crema_de_champignones;Cuece champignones y patata, tritura con nata.
Alubias_con_chorizo;Cuece alubias con chorizo y pimiento.
Tortilla_de_espinacas;Saltea espinacas y cebolla, mezcla con huevo y cuaja.
Canelones_de_espinaca;Rellena pasta con espinacas, cubre con bechamel y hornea.
Brochetas_de_cerdo;Ensarta cerdo, pimiento y cebolla, cocina a la plancha.
Ensalada_de_lentejas;Mezcla lentejas cocidas con tomate y cebolla.
Panecillos;Mezcla harina, agua y sal. Forma panecillos y hornea.
Zanahorias_glaseadas;Cocina zanahoria con azucar y mantequilla hasta glasear.
Donut;Mezcla harina, huevo, azucar, leche y mantequilla. Forma rosquillas y frie.